Accountant I
Economist II
Economist III
Economist IV
Economist V
Electrician Foreman
Electrician General Foreman
Electrician I
Electrician II
Electronics and Communications Equipment Technician I
Electronics and Communications Equipment Technician II
Electronics and Communications Equipment Technician III
Electronics and Communications Equipment Technician IV
Engineer I
Engineer II
Engineer III
Engineer IV
Engineer V
Executive Assistant I
Executive Assistant II
Executive Assistant III
Executive Assistant IV
Executive Assistant V
Executive Assistant VI
Financial Analyst I
Financial Analyst II
Financial Analyst III
Financial Analyst IV
Financial Analyst V
Head Executive Assistant
Heavy Equipment Operator I
Heavy Equipment Operator II
Heavy Equipment Operator III
Household Attendant I
Household Attendant II
Household Attendant III
Houseparent I
Houseparent II
Houseparent III
Houseparent IV
Human Resource Management Aide
Human Resource Management Assistant
Human Resource Management Officer I
Human Resource Management Officer II
Human Resource Management Officer III
Human Resource Management Officer IV
Human Resource Management Officer V
Information Officer I
Information Officer II
Information Officer III
Information Officer IV
Information Officer V
Information Systems Analyst I
Information Systems Analyst II
Information Systems Analyst III
Information Technology Officer I
Information Technology Officer II
Information Technology Officer III
Labor Foreman
Labor General Foreman
Laborer I
Laborer II
Laundry Worker I
Laundry Worker II
Laundry Worker III
Legal Aide
Legal Assistant I
Legal Assistant II
Legal Assistant III
Librarian I
Librarian II
Librarian III
Librarian IV
Librarian V
Light Equipment Operator
Management and Audit Analyst Assistant
Management and Audit Analyst I
Management and Audit Analyst II
Management and Audit Analyst III
Management and Audit Analyst IV
Management and Audit Analyst V
Manpower Development Assistant
Manpower Development Officer I
Manpower Development Officer II
Mason Foreman
Mason I
Mason II
Mechanic I
Mechanic II
Mechanic III
Mechanical Plant Operator I
Mechanical Plant Operator II
Mechanical Plant Operator III
Mechanical Shop Foreman
Mechanical Shop General Foreman
Media Production Aide
Media Production Assistant
Media Production Specialist I
Media Production Specialist II
Media Production Specialist III
Media Production Specialist IV
Media Production Specialist V
Medical Officer I
Medical Officer II
Medical Officer III
Medical Officer IV
Medical Officer V
Medical Specialist I
Medical Specialist II
Medical Specialist III
Medical Specialist IV
Medical Specialist V
Medical Specialist VI
Medical Specialist VII
Messenger
Midwife I
Midwife II
Midwife III
Midwife IV
Midwife V
Midwife VI
Motorpool Dispatcher
Motorpool Supervisor I
Motorpool Supervisor II
Nurse I
Nurse II
Nurse III
Nurse IV
Nurse V
Nurse VI
Nurse VII
Nutritionist-Dietitian I
Nutritionist-Dietitian II
Nutritionist-Dietitian III
Nutritionist-Dietitian IV
Nutritionist-Dietitian V
Nutritionist-Dietitian VI
Occupational Therapist I
Occupational Therapist II
Occupational Therapist III
Occupational Therapist IV
Painter Foreman
Painter General Foreman
Painter I
Painter II
Photographer I
Photographer II
Photographer III
Photographer IV
Photographer V
Photographer VI
Physical Therapist I
Physical Therapist II
Physical Therapist III
Physical Therapist IV
Planning Assistant
Planning Officer I
Planning Officer II
Planning Officer III
Planning Officer IV
Planning Officer V
Plumber Foreman
Plumber I
Plumber II
Private Secretary I
Private Secretary II
Private Secretary III
Project Development Assistant
Project Development Officer I
Project Development Officer II
Project Development Officer III
Project Development Officer IV
Project Development Officer V
Project Evaluation Assistant
Project Evaluation Officer I
Project Evaluation Officer II
Project Evaluation Officer III
Project Evaluation Officer IV
Project Evaluation Officer V
Property Custodian
Psychologist I
Psychologist II
Psychologist III
Records Officer I
Records Officer II
Records Officer III
Records Officer IV
Records Officer V
Secretary I
Secretary II
Security I
Security II
Security III
Security IV
Security V
Senior Administrative Assistant I
Senior Administrative Assistant II
Senior Administrative Assistant III
Senior Administrative Assistant IV
Senior Administrative Assistant V
Senior Bookkeeper
Senior Manpower Development Officer
Social Welfare Aide
Social Welfare Assistant
Social Welfare Officer I
Social Welfare Officer II
Social Welfare Officer III
Social Welfare Officer IV
Social Welfare Officer V
Statistician Aide
Statistician I
Statistician II
Statistician III
Statistician IV
Statistician V
Storekeeper I
Storekeeper II
Storekeeper III
Storekeeper IV
Supervising Administrative Officer
Supervising Manpower Development Officer
Supply Officer I
Supply Officer II
Supply Officer III
Supply Officer IV
Supply Officer V
Training Assistant
Training Specialist I
Training Specialist II
Training Specialist III
Training Specialist IV
Training Specialist V
Utility Foreman
Utility Worker I
Utility Worker II
Warehouseman I
Warehouseman II
Warehouseman III
Warehouseman IV
